,price
2014-06-26,3671000
2014-06-27,3676000
2014-06-28,3675000
2014-06-29,3670000
2014-06-30,3675000
2014-07-01,3688000
2014-07-02,3685000
2014-07-03,3680000
2014-07-04,3677000
2014-07-05,3676000
2014-07-06,3675000
2014-07-07,3670000
2014-07-08,3677000
2014-07-09,3680000
2014-07-10,3691000
2014-07-11,3689000
2014-07-12,3688000
2014-07-13,3692500
2014-07-14,3680000
2014-07-15,3679000
2014-07-16,3671000
2014-07-17,3674000
2014-07-18,3676000
2014-07-19,3674000
2014-07-20,3677000
2014-07-21,3678000
2014-07-22,3669000
2014-07-23,3671000
2014-07-24,3665000
2014-07-25,3661000
2014-07-26,3670000
2014-07-27,3669000
2014-07-28,3665000
2014-07-29,3666000
2014-07-30,3663000
2014-07-31,3661000
2014-08-01,3654000
2014-08-02,3658000
2014-08-03,3659000
2014-08-04,3657000
2014-08-05,3656000
2014-08-06,3657000
2014-08-07,3665000
2014-08-08,3669000
2014-08-09,3667000
2014-08-10,3666000
2014-08-11,3665000
2014-08-12,3667000
2014-08-13,3665000
2014-08-14,3668000
2014-08-15,3664000
2014-08-16,3659000
2014-08-17,3658000
2014-08-18,3658000
2014-08-19,3657000
2014-08-20,3653000
2014-08-21,3643000
2014-08-22,3646000
2014-08-23,3646000
2014-08-24,3645000
2014-08-25,3639000
2014-08-26,3643000
2014-08-27,3642000
2014-08-28,3647000
2014-08-29,3643000
2014-08-30,3644000
2014-08-31,3644000
2014-09-01,3644000
2014-09-02,3644000
2014-09-03,3629000
2014-09-04,3634000
2014-09-05,3627000
2014-09-06,3629000
2014-09-07,3628000
2014-09-08,3630000
2014-09-09,3618000
2014-09-10,3606000
2014-09-11,3600000
2014-09-12,3593000
2014-09-13,3587000
2014-09-14,3588000
2014-09-15,3597000
2014-09-16,3607000
2014-09-17,3606000
2014-09-18,3595000
2014-09-19,3605000
2014-09-20,3601000
2014-09-21,3600000
2014-09-22,3587000
2014-09-23,3593000
2014-09-24,3594000
2014-09-25,3586000
2014-09-26,3594000
2014-09-27,3594000
2014-09-28,3591000
2014-09-29,3586000
2014-09-30,3573000
2014-10-01,3564000
2014-10-02,3571000
2014-10-03,3570000
2014-10-04,3553000
2014-10-05,3554000
2014-10-06,3562000
2014-10-07,3568000
2014-10-08,3574000
2014-10-09,3581000
2014-10-10,3575000
2014-10-11,3575000
2014-10-12,3578000
2014-10-13,3577000
2014-10-14,3575000
2014-10-15,3569000
2014-10-16,3584000
2014-10-17,3585000
2014-10-18,3582000
2014-10-19,3583000
2014-10-20,3579000
2014-10-21,3583000
2014-10-22,3576000
2014-10-23,3573000
2014-10-24,3564000
2014-10-25,3565000
2014-10-26,3566000
2014-10-27,3564000
2014-10-28,3562000
2014-10-29,3564000
2014-10-30,3550000
2014-10-31,3534000
2014-11-01,3535000
2014-11-02,3534000
2014-11-03,3534000
2014-11-04,3530000
2014-11-05,3503000
2014-11-06,3493000
2014-11-07,3491000
2014-11-08,3518000
2014-11-09,3517000
2014-11-10,3517000
2014-11-11,3501000
2014-11-12,3511000
2014-11-13,3509000
2014-11-14,3508000
2014-11-15,3531000
2014-11-16,3530000
2014-11-17,3528000
2014-11-18,3535000
2014-11-19,3537000
2014-11-20,3529000
2014-11-21,3533000
2014-11-22,3537000
2014-11-23,3538000
2014-11-24,3535000
2014-11-25,3535000
2014-11-26,3534000
2014-11-27,3521000
2014-11-28,3508000
2014-11-29,3500000
2014-11-30,3501000
2014-12-01,3507000
2014-12-02,3521000
2014-12-03,3519000
2014-12-04,3517000
2014-12-05,3513000
2014-12-06,3511000
2014-12-07,3508000
2014-12-08,3510000
2014-12-09,3515000
2014-12-10,3527000
2014-12-11,3519000
2014-12-12,3523000
2014-12-13,3523000
2014-12-14,3522000
2014-12-15,3523000
2014-12-16,3516000
2014-12-17,3514000
2014-12-18,3520000
2014-12-19,3520000
2014-12-20,3521000
2014-12-21,3520000
2014-12-22,3515000
2014-12-23,3509000
2014-12-24,3508000
2014-12-25,3507000
2014-12-26,3512000
2014-12-27,3513000
2014-12-28,3512000
2014-12-29,3512000
2014-12-30,3505000
2014-12-31,3470000
2015-01-01,3485000
2015-01-02,3485000
2015-01-03,3485000
2015-01-04,3485000
2015-01-05,3511000
2015-01-06,3519000
2015-01-07,3522000
2015-01-08,3514000
2015-01-09,3514000
2015-01-10,3521000
2015-01-11,3520000
2015-01-12,3522000
2015-01-13,3530000
2015-01-14,3522000
2015-01-15,3524000
2015-01-16,3539000
2015-01-17,3553000
2015-01-18,3552000
2015-01-19,3550000
2015-01-20,3551000
2015-01-21,3576000
2015-01-22,3565000
2015-01-23,3562000
2015-01-24,3561500
2015-01-25,3560000
2015-01-26,3541000
2015-01-27,3535000
2015-01-28,3539000
2015-01-29,3535000
2015-01-30,3527000
2015-01-31,3535000
2015-02-01,3536000
2015-02-02,3527000
2015-02-03,3532000
2015-02-04,3525000
2015-02-05,3527000
2015-02-06,3526000
2015-02-07,3514000
2015-02-08,3515000
2015-02-09,3522000
2015-02-10,3523000
2015-02-11,3524000
2015-02-12,3525000
2015-02-13,3533000
2015-02-14,3540000
2015-02-15,3539000
2015-02-16,3539000
2015-02-17,3539000
2015-02-18,3539000
2015-02-19,3539000
2015-02-20,3539000
2015-02-21,3539000
2015-02-22,3539000
2015-02-23,3539000
2015-02-24,3529000
2015-02-25,3541000
2015-02-26,3561000
2015-02-27,3546000
2015-02-28,3545000
2015-03-01,3547000
2015-03-02,3545000
2015-03-03,3539000
2015-03-04,3536000
2015-03-05,3532000
2015-03-06,3533000
2015-03-07,3517000
2015-03-08,3516000
2015-03-09,3524000
